Pozycja,Wykonawca,Piosenka,Nr_notowania
1,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1875
2,Jaromir Nohavica,CZARNA DZIURA,1875
3,Led Zeppelin,IMMIGRANT SONG,1875
4,Cigarettes After Sex,SWEET,1875
5,Deep Purple,THE SURPRISING,1875
6,Mikromusic,TAK MI SIĘ NIE CHCE,1875
7,Jaromir Nohavica,EMPIRE STATE,1875
8,Greta Van Fleet,HIGHWAY TUNE,1875
9,Kazik & Kwartet ProForma,MOST,1875
10,Artur Rojek,DŁUGOŚĆ DŹWIĘKU SAMOTNOŚCI (live in NOSPR),1875
1,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1876
2,Greta Van Fleet,HIGHWAY TUNE,1876
3,Led Zeppelin,IMMIGRANT SONG,1876
4,Jaromir Nohavica,CZARNA DZIURA,1876
5,Cigarettes After Sex,SWEET,1876
6,Deep Purple,THE SURPRISING,1876
7,Mikromusic,TAK MI SIĘ NIE CHCE,1876
8,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1876
9,Jaromir Nohavica,EMPIRE STATE,1876
10,Artur Rojek,DŁUGOŚĆ DŹWIĘKU SAMOTNOŚCI (live in NOSPR),1876
1,Greta Van Fleet,HIGHWAY TUNE,1877
2,Led Zeppelin,IMMIGRANT SONG,1877
3,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1877
4,The Cranberries,THE GLORY,1877
5,Jaromir Nohavica,CZARNA DZIURA,1877
6,Cigarettes After Sex,SWEET,1877
7,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1877
8,Deep Purple,THE SURPRISING,1877
9,Mikromusic,TAK MI SIĘ NIE CHCE,1877
10,Lao Che,NIE RAJ,1877
1,Lao Che,NIE RAJ,1878
2,The Cranberries,THE GLORY,1878
3,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1878
4,Led Zeppelin,IMMIGRANT SONG,1878
5,Greta Van Fleet,HIGHWAY TUNE,1878
6,Jaromir Nohavica,CZARNA DZIURA,1878
7,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1878
8,Deep Purple,THE SURPRISING,1878
9,Cigarettes After Sex,SWEET,1878
10,Mikromusic,TAK MI SIĘ NIE CHCE,1878
1,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1879
2,Lao Che,NIE RAJ,1879
3,The Cranberries,THE GLORY,1879
4,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1879
5,Greta Van Fleet,HIGHWAY TUNE,1879
6,Jaromir Nohavica,CZARNA DZIURA,1879
7,Led Zeppelin,IMMIGRANT SONG,1879
8,Greta Van Fleet,EDGE OF DARKNESS,1879
9,Deep Purple,THE SURPRISING,1879
10,Cigarettes After Sex,SWEET,1879
1,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1880
2,Lao Che,NIE RAJ,1880
3,Greta Van Fleet,HIGHWAY TUNE,1880
4,The Cranberries,THE GLORY,1880
5,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1880
6,Led Zeppelin,IMMIGRANT SONG,1880
7,Jaromir Nohavica,CZARNA DZIURA,1880
8,Greta Van Fleet,EDGE OF DARKNESS,1880
9,Deep Purple,THE SURPRISING,1880
10,Barbara Wrońska,NIE CZEKAJ,1880
1,Lao Che,NIE RAJ,1881
2,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1881
3,Greta Van Fleet,HIGHWAY TUNE,1881
4,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1881
5,The Cranberries,THE GLORY,1881
6,Led Zeppelin,IMMIGRANT SONG,1881
7,Greta Van Fleet,EDGE OF DARKNESS,1881
8,Jaromir Nohavica,CZARNA DZIURA,1881
9,Barbara Wrońska,NIE CZEKAJ,1881
10,Deep Purple,THE SURPRISING,1881
1,Lao Che,NIE RAJ,1882
2,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1882
3,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1882
4,Greta Van Fleet,HIGHWAY TUNE,1882
5,The Cranberries,THE GLORY,1882
6,Led Zeppelin,IMMIGRANT SONG,1882
7,Jaromir Nohavica,CZARNA DZIURA,1882
8,Barbara Wrońska,NIE CZEKAJ,1882
9,Greta Van Fleet,EDGE OF DARKNESS,1882
10,Deep Purple,THE SURPRISING,1882
1,Lao Che,NIE RAJ,1883
2,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1883
3,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1883
4,Jaromir Nohavica,CZARNA DZIURA,1883
5,Greta Van Fleet,HIGHWAY TUNE,1883
6,The Cranberries,THE GLORY,1883
7,Led Zeppelin,IMMIGRANT SONG,1883
8,Barbara Wrońska,NIE CZEKAJ,1883
9,Greta Van Fleet,EDGE OF DARKNESS,1883
10,Deep Purple,THE SURPRISING,1883
1,Lao Che,NIE RAJ,1884
2,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1884
3,Led Zeppelin,IMMIGRANT SONG,1884
4,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1884
5,Jaromir Nohavica,CZARNA DZIURA,1884
6,Greta Van Fleet,HIGHWAY TUNE,1884
7,Deep Purple,THE SURPRISING,1884
8,The Cranberries,THE GLORY,1884
9,Barbara Wrońska,NIE CZEKAJ,1884
10,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1884
1,Lao Che,NIE RAJ,1885
2,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1885
3,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1885
4,Led Zeppelin,IMMIGRANT SONG,1885
5,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1885
6,Jaromir Nohavica,CZARNA DZIURA,1885
7,Greta Van Fleet,HIGHWAY TUNE,1885
8,Deep Purple,THE SURPRISING,1885
9,The Cranberries,THE GLORY,1885
10,Barbara Wrońska,NIE CZEKAJ,1885
1,Lao Che,NIE RAJ,1886
2,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1886
3,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1886
4,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1886
5,Led Zeppelin,IMMIGRANT SONG,1886
6,The Cranberries,THE GLORY,1886
7,Jaromir Nohavica,CZARNA DZIURA,1886
8,Greta Van Fleet,HIGHWAY TUNE,1886
9,Jazz Band Młynarski - Masecki,ABDUŁ BEY,1886
10,Barbara Wrońska,NIE CZEKAJ,1886
1,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1887
2,Lao Che,NIE RAJ,1887
3,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1887
4,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1887
5,Led Zeppelin,IMMIGRANT SONG,1887
6,The Cranberries,THE GLORY,1887
7,a-ha,TAKE ON ME (MTV UNPLUGGED),1887
8,Jaromir Nohavica,CZARNA DZIURA,1887
9,Greta Van Fleet,HIGHWAY TUNE,1887
10,Metallica,SPIT OUT THE BONE,1887
1,Lao Che,NIE RAJ,1888
2,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1888
3,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1888
4,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1888
5,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1888
6,Led Zeppelin,IMMIGRANT SONG,1888
7,The Cranberries,THE GLORY,1888
8,Jaromir Nohavica,CZARNA DZIURA,1888
9,Kortez,"DOBRZE, ŻE CIĘ MAM",1888
10,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1888
1,Lao Che,NIE RAJ,1889
2,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1889
3,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1889
4,Lao Che,KAPITAN POLSKA,1889
5,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1889
6,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1889
7,The Cranberries,THE GLORY,1889
8,Led Zeppelin,IMMIGRANT SONG,1889
9,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1889
10,Jaromir Nohavica,CZARNA DZIURA,1889
1,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1890
2,Lao Che,KAPITAN POLSKA,1890
3,Lao Che,NIE RAJ,1890
4,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1890
5,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1890
6,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1890
7,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1890
8,The Cranberries,THE GLORY,1890
9,Led Zeppelin,IMMIGRANT SONG,1890
10,Jaromir Nohavica,PORUBA,1890
1,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1891
2,Lao Che,NIE RAJ,1891
3,Lao Che,KAPITAN POLSKA,1891
4,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1891
5,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1891
6,Jaromir Nohavica,PORUBA,1891
7,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1891
8,The Cranberries,THE GLORY,1891
9,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1891
10,Led Zeppelin,IMMIGRANT SONG,1891
1,Lao Che,KAPITAN POLSKA,1892
2,Lao Che,NIE RAJ,1892
3,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1892
4,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1892
5,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1892
6,Nosowska,JA PAS!,1892
7,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1892
8,Jaromir Nohavica,PORUBA,1892
9,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1892
10,The Cranberries,THE GLORY,1892
1,Lao Che,KAPITAN POLSKA,1893
2,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1893
3,Lao Che,NIE RAJ,1893
4,Nosowska,JA PAS!,1893
5,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1893
6,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1893
7,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1893
8,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1893
9,Fisz Emade Tworzywo,KANTERSTRAJK,1893
10,Jaromir Nohavica,PORUBA,1893
1,Lao Che,KAPITAN POLSKA,1894
2,Nosowska,JA PAS!,1894
3,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1894
4,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1894
5,Lao Che,NIE RAJ,1894
6,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1894
7,Fisz Emade Tworzywo,KANTERSTRAJK,1894
8,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1894
9,Krzysztof Zalewski,PRZYJDŹ W TAKĄ NOC,1894
10,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1894
1,Lao Che,KAPITAN POLSKA,1895
2,Nosowska,JA PAS!,1895
3,Męskie Granie Orkiestra 2018,POCZĄTEK,1895
4,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1895
5,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1895
6,Lao Che,NIE RAJ,1895
7,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1895
8,Greta Van Fleet,SAFARI SONG,1895
9,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1895
10,Daria Zawiałow,JESZCZE W ZIELONE GRAMY,1895
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1896
2,Lao Che,KAPITAN POLSKA,1896
3,Nosowska,JA PAS!,1896
4,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1896
5,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1896
6,Greta Van Fleet,SAFARI SONG,1896
7,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1896
8,Lao Che,NIE RAJ,1896
9,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1896
10,Strachy na Lachy & Itsmisslilly,OBŁĄKANY OBŁOK,1896
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1897
2,Lao Che,KAPITAN POLSKA,1897
3,Dawid Podsiadło,MAŁOMIASTECZKOWY,1897
4,Nosowska,JA PAS!,1897
5,Greta Van Fleet,SAFARI SONG,1897
6,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1897
7,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1897
8,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1897
9,Lao Che,NIE RAJ,1897
10,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1897
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1898
2,Dawid Podsiadło,MAŁOMIASTECZKOWY,1898
3,Lao Che,KAPITAN POLSKA,1898
4,Greta Van Fleet,SAFARI SONG,1898
5,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1898
6,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1898
7,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1898
8,Nosowska,JA PAS!,1898
9,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1898
10,Lao Che,NIE RAJ,1898
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1899
2,Dawid Podsiadło,MAŁOMIASTECZKOWY,1899
3,Lao Che,KAPITAN POLSKA,1899
4,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1899
5,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1899
6,Greta Van Fleet,SAFARI SONG,1899
7,Kazik + Zdunek Ensemble,WOJNY,1899
8,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1899
9,Nosowska,JA PAS!,1899
10,Artur Andrus,OD JOKOHAMY DO FUJISAWY,1899
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1900
2,Dawid Podsiadło,MAŁOMIASTECZKOWY,1900
3,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1900
4,Lao Che,KAPITAN POLSKA,1900
5,Greta Van Fleet,SAFARI SONG,1900
6,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1900
7,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1900
8,Kazik + Zdunek Ensemble,WOJNY,1900
9,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1900
10,Nosowska,JA PAS!,1900
1,Dawid Podsiadło,MAŁOMIASTECZKOWY,1901
2,Męskie Granie Orkiestra 2018,POCZĄTEK,1901
3,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1901
4,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1901
5,Lao Che,KAPITAN POLSKA,1901
6,Kayah i Zbigniew Wodecki,CHWYTAJ DZIEŃ,1901
7,Kazik + Zdunek Ensemble,WOJNY,1901
8,Paweł Domagała,WEŹ NIE PYTAJ,1901
9,Artur Andrus & Dorota Miśkiewicz,CIOCIA W GABLOCIE,1901
10,Kazik & Kwartet ProForma,GDYBYM MIAŁ KOGOŚ,1901
1,Męskie Granie Orkiestra 2018,POCZĄTEK,1902
2,Dawid Podsiadło,MAŁOMIASTECZKOWY,1902
3,Paweł Domagała,WEŹ NIE PYTAJ,1902
4,Taconafide & Dawid Podsiadło,TAMAGOTCHI,1902
5,Lady Pank & Maciej Maleńczuk,TAŃCZ GŁUPIA TAŃCZ,1902
